"LF33ABDT-TR","VOLT REG, 3.3V, TO-252","1087183","2",
"TLV2464CD","Low Power, Rail-To-Rail OpAmp","8455171","1",
"SN74LVC2G17","Dual Schmitt Trigger Buffer","1287569","2",
"SN74LS145D","BCD DECODER/DRIVER","9592300","1",
"SN74CBT3253C","Dual 4:1 Demux/Analog Switch","1750447","4",
"PMEG6010CEH","DIODE, SCHOTTKY, 1A, 60V, SOD-123F","1510694","3",
"Paddles","Jack Socket,Thru-Hole","1267376","5",
"OPA2350UA","High Speed, Single Supply OpAmp","1101542","1",
"NDS356AP","NDS356AP","9846409","2",
"MCP9801","2-Wire High-Accuracy Temperature Sensor","1439486","1",
"MC7805BTG","VOLTAGE REG, 40V, TO220-3","1211135","1",
"LM2941CT","V REG ADJ +5/20V, 2941, TO-220-5","9489371","1",
"LM2931CDG","100 mA, Adjustable Output,  LDO Voltage Regulator with  60 V Load Dump Protection","1211100","1",
"LM386M-1","Low Voltage Audio Power Amplifier","9488324","5",
"ISP817XSM","OPTOCOUPLER, SMDIP-4, TR O/P","1683292","1",
"G6KU-2FY 3DC","Single-winding Latching Relay","1181070","4",
"Fuse","Fuse","1841065","1",
"DXT3150","BIPOLAR, TRANSISTOR, NPN, SOT-89","1713880","2",
"BNC 13-60-2 DGZ","RF COAXIAL, BNC, JACK","1712350","1",
"BFR93A","TRANSISTOR, RF, NPN, 12V, 0.035MA,SOT-23","1081300","1",
"BAT54A","DIODE, SCHOTTKY, DUAL","1081191","1",
"BAP64-02,115","HF-pin-diode","1757789","2",
"820","Capacitor","1740649","2",
"680","Capacitor","2280662","3",
"470","Capacitor","1414693","2",
"470","Resistor","1099798","2",
"390","Capacitor","2332701","7",
"270","Capacitor","2332698","2",
"220","Capacitor","498609","2",
"220","Resistor","9332804","5",
"180","Capacitor","2332756","5",
"100uF","Electrolitic capacitor","2326111","5",
"100uF","Electrolitic capacitor","9695770","1",
"100nF","Capacitor","1740673","59",
"100nF","Capacitor","1907331","15",
"0","Resistor","9333681","23",
"2.2K","Resistor","1887289","18",
"100","Capacitor","2332692","4",
"100","Resistor","9332375","26",
"82","Capacitor","1740656","1",
"74LVC1G17SE-7","SINGLE SCHMITT-TRIGGER BUFFER","1893834","1",
"74LCX74M","Low Voltage Dual D-Type Positive Edge-Triggered  Flip-Flop with 5V Tolerant Inputs","1013791","1",
"74HCT02","Quad 2-input NOR gate","1085298","1",
"56","Resistor","1576442","2",
"47uH","INDUCTOR, SIGNAL LINE, 4.7UH, 1005","1669895","9",
"47nF","Capacitor","1520303","20",
"47","Resistor","1738942","9",
"27","Resistor","2057802","4",
"22uF","Electrolitic capacitor","1754186","1",
"22nF","Capacitor","2211120","6",
"3.9K","Resistor","1887296","2",
"16/30HB","NEON LAMP, WIRE ENDED, T2","1139250","1",
"15K","Resistor","1652920","6",
"12V Connector","Power Jack","1889309","1",
"10uF","Electrolitic capacitor","1432339","25",
"10pF","Capacitor","2332749","2",
"10nF","Capacitor","2332713","2",
"10k","Resistor","1469856","8",
"10","Resistor","9332421","3",
"5.6K","Resistor","1887301","1",
"4.7uH","INDUCTOR SMD","1669896","1",
"4.7K","Resistor","2008383","15",
"4.7","Resistor","2057665","5",
"2.2uH","INDUCTOR SMD","1669889","3",
"100uF","Electrolitic capacitor","1658150","2",
"1.5nF","Capacitor","2210934","2",
"1.5K","Resistor","1887285","1",
"1.2nF","Capacitor","2210933","2",
"1uH","INDUCTOR SMD","1669882","3",
"1nF","Capacitor","1856408","19",
"1nF","Capacitor","1833849","1",
"2.2uF","Electrolitic capacitor","1845751","4",
"1K","Resistor","1576459","6",
"0.68uH","INDUCTOR SMD","2471646","1",
"0.47uH","INDUCTOR SMD","1669913","2",
"0.33uH","INDUCTOR SMD","1669911","2",
"Header 50p","","3418388","1",
"Usb Host","USB Host Connector","1177883","1",
"Usb Dfu","Mini USB connector","2112367","1",
"STM32F40x-VG (LQFP100)","","2333287","1",
"Speaker","Header, 2-Pin","1683898","1",
"RED","LED 3mm","2112100","1",
"Phones","Jack Socket 4 pin","1217016","1",
"Header2mm","20-pin Header","1109733","2",
"GREEN","LED 3mm","2112096","1",
"FOX924B-16.000","TCXO","2063959","1",
"ALPS-EC12E2420404","ALPS Rotary Encoder","1520812","4",
"KSC941J","Button SMD","2435157","17",
"BTNKSC920","Cap grey","2435082","8",
"BTNKSC940","Cap red","2435084","2",
"BTNKSC990","Cap black","2435081","2",
"BTNKSC980","Cap white","2435088","5",
"680","Resistor","9334785","3",
"470nF","Capacitor","2320847","6",
"220uF","Electrolitic capacitor","2254321","4",
"1uF","Electrolitic capacitor","1457406","11",
"2.2R","Resistor","2328104","2",
"220","Capacitor","2332795","3",
"74HC4066","Quad bilateral switch","1201330","2",
"47K","Resistor","1469929","1",
